"Street1" "quarter" "pop.1855" "pop_1850" "street" "male.sick" "female.sick" "male.dead" "female.dead" "street.index" "start.date" "end.date"
"147" "Steenkulsgade" "St. Annæ Vester" 300 "na" "Stenkulsgade" 0 0 0 0 48 "03-07-1853" "09-07-1853"
"148" "Store Brøndstræde" "Rosenborg" 330 "381" "Store Brøndstræde" 0 0 0 0 88 "03-07-1853" "09-07-1853"
"149" "Store Fiolstræde" "Klædebo" 1093 "1051" "Store Fiolstræde" 0 0 0 0 167 "03-07-1853" "09-07-1853"
"150" "Store Grønnegade" "Kjøbmager" 1159 "1170" "Store Grønnegade" 0 0 0 0 113 "03-07-1853" "09-07-1853"
"151" "Store Kannikestræde" "Klædebo" 494 "533" "Store Kannikestræde" 0 0 0 0 163 "03-07-1853" "09-07-1853"
"152" "Store Kirkestræde" "Øster" 110 "92" "Store Kirkestræde" 0 0 0 0 135 "03-07-1853" "09-07-1853"
"153" "Store Kjøbmagergade" "Frimands" 756 "na" "Store Kjøbmagergade" 1 0 0 0 120 "03-07-1853" "09-07-1853"
"154" "Store Kjøbmagergade" "Kjøbmager" 513 "na" "Store Kjøbmagergade" 0 0 0 0 101 "03-07-1853" "09-07-1853"
"155" "Store Kjøbmagergade" "Rosenborg" 253 "na" "Store Kjøbmagergade" 0 0 0 0 84 "03-07-1853" "09-07-1853"
"156" "Store Kongensgade" "Christianshavn" NA NA "Store Kongensgade" 0 0 0 0 67 "03-07-1853" "09-07-1853"
"157" "Store Kongensgade" "St. Annæ Vester" 2146 "na" "Store Kongensgade, VS" 10 3 7 2 32 "03-07-1853" "09-07-1853"
"158" "Store Kongensgade" "St. Annæ Øster" 2184 "na" "Store Kongensgade 216/272" 4 4 3 2 58 "03-07-1853" "09-07-1853"
"159" "Store Larsbjørnstræde" "Nørre" 536 "527" "Store Larsbjørnstræde" 0 0 0 0 181 "03-07-1853" "09-07-1853"
"160" "Store Regnegade" "Kjøbmager" 538 "510" "Store Regnegade" 0 0 0 0 110 "03-07-1853" "09-07-1853"
"161" "Store Strandstræde" "St. Annæ Øster" 549 "582" "Store Strandstræde" 1 1 1 1 203 "03-07-1853" "09-07-1853"
"162" "Store Torvegade" "Christianshavn" 924 "973" "Store Torvegade" 0 0 0 0 69 "03-07-1853" "09-07-1853"
"163" "Stormgade" "Vester" 748 "706" "Stormgade" 0 0 0 0 197 "03-07-1853" "09-07-1853"
"164" "Strandgade" "Christianshavn" 1401 "1243" "Strandgade" 0 0 0 0 65 "03-07-1853" "09-07-1853"
"165" "Studiestræde" "Nørre" 1879 "1828" "Studiestræde" 0 0 0 0 180 "03-07-1853" "09-07-1853"
"166" "Svanegade" "Nyboder" 300 "303" "Svanegade" 0 1 0 1 2 "03-07-1853" "09-07-1853"
"167" "Sværtegade" "Kjøbmager" 172 "175" "Sværtegade" 0 0 0 0 103 "03-07-1853" "09-07-1853"
"168" "Sølvgade" "St. Annæ Vester" 1665 "1476" "Sølvgade" 0 0 0 0 43 "03-07-1853" "09-07-1853"
"169" "Søndervoldstræde" "Christianshavn" NA NA "Store Søndervoldstræde" 0 0 0 0 75 "03-07-1853" "09-07-1853"
"170" "Teglgaardstræde" "Nørre" 990 "1048" "Teglgaardstræde" 0 2 0 1 183 "03-07-1853" "09-07-1853"
"171" "Tigergade" "Nyboder" 190 "193" "Tigergade" 0 0 0 0 9 "03-07-1853" "09-07-1853"
"172" "Timiansgade" "Nyboder" 140 "132" "Timiansgade" 0 0 0 0 11 "03-07-1853" "09-07-1853"
"173" "Toldbodgade" "St. Annæ Øster" 649 "492" "Toldbodgade" 0 0 0 0 51 "03-07-1853" "09-07-1853"
"174" "Toldbodplads" "St. Annæ Øster" 228 "" "Toldbodplads" 0 1 0 1 55 "03-07-1853" "09-07-1853"
"175" "Toldbodvein" "St. Annæ Øster" 753 "562" "Toldbodvei" 0 0 0 0 61 "03-07-1853" "09-07-1853"
"176" "Tornebuskegade" "Klædebo" 212 "295" "Tornebuskegade" 0 1 0 0 172 "03-07-1853" "09-07-1853"
"177" "Tornebuskegade" "Rosenborg" NA NA "Tornebuskegade" 0 0 0 0 95 "03-07-1853" "09-07-1853"
"178" "Trompetergangen" "Frimands" 159 "142" "Trompetergang" 0 0 0 0 124 "03-07-1853" "09-07-1853"
"179" "Tulipangade" "Nyboder" 206 "161" "Tulipangade" 0 0 0 0 8 "03-07-1853" "09-07-1853"
"180" "Ulvegade" "Nyboder" 225 "299" "Ulvegade" 0 0 0 0 22 "03-07-1853" "09-07-1853"
"181" "Vandkunsten" "Vester" 256 "254" "Vandkunsten" 0 0 0 0 194 "03-07-1853" "09-07-1853"
"182" "Vestergade" "Nørre" 539 "na" "Vestergade" 0 0 0 0 176 "03-07-1853" "09-07-1853"
"183" "Vestergade" "Vester" 425 "na" "Vestergade" 0 0 0 0 186 "03-07-1853" "09-07-1853"
"184" "Vestervold" "Nørre" 366 "346" "Vestervold" 0 0 0 0 184 "03-07-1853" "09-07-1853"
"185" "Viingaardstræde" "Øster" 723 "830" "Vingaardstræde" 1 1 0 1 138 "03-07-1853" "09-07-1853"
"186" "Vimmelskaftet" "Frimands" 762 "842" "Vimmelskaftet" 1 0 1 0 119 "03-07-1853" "09-07-1853"
"187" "Vognmagergade" "Rosenborg" 1608 "1635" "Vognmagergade" 2 2 1 0 87 "03-07-1853" "09-07-1853"
"188" "Østergade" "Kjøbmager" 1013 "na" "Østergade" 0 1 0 0 98 "03-07-1853" "09-07-1853"
"189" "Østergade" "Øster" 725 "na" "Østergade" 0 0 0 0 134 "03-07-1853" "09-07-1853"
"190" "Aabenraa" "Rosenborg" 1524 "1638" "Aabenraa" 0 0 0 0 92 "03-07-1853" "09-07-1853"
"191" "Citadellet" "St. Annæ Øster" NA NA "Citadellet" 0 0 0 0 62 "03-07-1853" "09-07-1853"
"192" "Compagnistræde" "Snarens" NA NA "Compagnistræde" 0 0 0 0 155 "03-07-1853" "09-07-1853"
"193" "Exereerplads" "Christianshavn" NA NA "Exereerplads" 0 0 0 0 82 "03-07-1853" "09-07-1853"
"194" "Haregade" "Nyboder" NA NA "Haregade" 0 0 0 0 10 "03-07-1853" "09-07-1853"
"195" "Holms Huse, ved Volden etc." "Christianshavn" NA NA "Holms Huse, ved Volden etc." 1 0 1 0 83 "03-07-1853" "09-07-1853"
"196" "Lille Grønnegade" "Kjøbmager" NA NA "Lille Grønnegade" 0 1 0 0 115 "03-07-1853" "09-07-1853"
"197" "Møllen paa Volden" "Nørre" NA NA "Møllen paa Volden" 0 0 0 0 185 "03-07-1853" "09-07-1853"
"198" "Møllen paa Volden" "St. Annæ Vester" NA NA "Møllen paa Volden" 0 0 0 0 49 "03-07-1853" "09-07-1853"
"199" "Pindsvinegade" "Nyboder" NA NA "Pindsvinegade" 0 0 0 0 18 "03-07-1853" "09-07-1853"
"200" "Prammandens Gang" "Kjøbmager" NA NA "Prammandens Gang" 0 0 0 0 114 "03-07-1853" "09-07-1853"
"201" "Slottet" "Strand" NA NA "Slottet" 0 0 0 0 132 "03-07-1853" "09-07-1853"
"202" "Torvet" "Christianshavn" NA NA "Torvet" 0 0 0 0 73 "03-07-1853" "09-07-1853"
"203" "Ved Børsen" "Strand" NA NA "Ved Børsen" 0 0 0 0 131 "03-07-1853" "09-07-1853"
